C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_53_826.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_53_826.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_53_826.jpg,0,0,0,3.393458E-06
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_53_894.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_53_894.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_53_894.jpg,0,0,0,1.221162E-05
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_53_990.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_53_990.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_53_990.jpg,0,0,0,9.755319E-06
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_084.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_084.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_084.jpg,0,0,0,5.308823E-06
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_178.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_178.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_178.jpg,0,0,0,3.18116E-06
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_272.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_272.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_272.jpg,0,0,0,6.902659E-07
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_366.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_366.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_366.jpg,0,0,0,1.741462E-06
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_462.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_462.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_462.jpg,0,0,0,2.075177E-05
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_552.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_552.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_552.jpg,0,0,0,1.097779E-05
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_650.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_650.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_650.jpg,0,0,0,8.092257E-06
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_743.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_743.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_743.jpg,0,0,0,1.877694E-05
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_832.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_832.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_832.jpg,0,0,0,3.205E-06
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_54_928.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_54_928.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_54_928.jpg,0,0,0,1.753121E-05
C:\Users\KIIT\Desktop\car\IMG\center_2019_06_19_23_53_55_031.jpg,C:\Users\KIIT\Desktop\car\IMG\left_2019_06_19_23_53_55_031.jpg,C:\Users\KIIT\Desktop\car\IMG\right_2019_06_19_23_53_55_031.jpg,0,0.283869,0,0.3454958
